199275.0,0,0,0,0,0,435621.0,9394955.0,75.0,0,8512.0,26691.0,55898.0,0,0,0,56773.0,9.0,1496.0,37536.0,23076.0,1385.0,2457.0,454.0,0,0,0.0,0,1472.0,1.0,42.0,11.0,0,0,0,0,-19825.0,81.0,1276.0,697.0,1380.0,266574.0,21585.0
199924.0,0,0,0,0,0,-427519.0,-9189382.0,1628.0,0,8864.0,2519811.0,56239.0,0,0,0,57058.0,9.0,1505.0,37953.0,23303.0,1389.0,2459.0,454.0,0,0,0.0,0,1493.0,1.0,43.0,13.0,0,0,0,0,-19970.0,74.0,1302.0,714.0,1415.0,270798.0,19639.0
20822.0,0,0,0,0,0,1956.0,20617.0,0,396.0,12438.0,0,14323.0,0,0,0,1229.0,0.0,180.0,4708.0,1470.0,0,0,0,0,0,0,0,15115.0,3.0,117.0,823.0,0,0.0,28.0,0.0,50091.0,2534.0,3275.0,2457.0,3295.0,515011.0,444325.0
36241.0,0,0,0,0,0,33754.0,401207.0,0,1138.0,25483.0,0,19429.0,0,0,0,14633.0,3.0,1160.0,44408.0,13646.0,0,0,0,0,0,0,0,23755.0,12.0,107.0,757.0,0,0.0,39.0,0.0,623460.0,3114.0,3124.0,1861.0,3166.0,648674.0,277588.0
25202.0,0,0,0,0,0,-34838.0,-423452.0,0,2208.0,32129.0,0,-17517.0,0,0,0,2247.0,0.0,658.0,9689.0,1828.0,0,0,0,0,0,0,0,24076.0,-2.0,102.0,627.0,0,0.0,30.0,1.0,54584.0,1976.0,2547.0,914.0,2582.0,508157.0,303316.0
101355.0,0,0,0,0,0,-480344.0,-4301521.0,191.0,293.0,13526.0,165765.0,0,0,0,0,0,0,0,31569.0,0,0,0,0,0,0,0,0,33951.0,0,0,0,0,0,0,0,4018.0,238.0,0,0,0,0,416415.0
30102.0,0,0,0,0,0,734347.0,7546235.0,51.0,329.0,3142.0,13013.0,257569.0,0,0,0,5443.0,0.0,287.0,14938.0,4819.0,0,0,0,175.0,7.0,1238.0,355301.0,32017.0,2.0,59.0,1657.0,11668.0,0,0,0,270.0,0,89.0,0,90.0,16664.0,7690.0
7863.0,0,0,0,0,0,-89822.0,-1315835.0,0,93.0,5488.0,17759.0,0,0.0,2.0,0.0,0,0,0,0,0,0,55.0,0,0,0,0,0,1148.0,3306.0,745.0,491.0,27360.0,0,0,0,3718.0,0,0,0,0,0,0
13787.0,0,0,0,0,0,18402.0,81045.0,0,158.0,19313.0,14528.0,0,0,0,0,0,0,0,-35883.0,0,0,0,0,0,0,0,0,4916.0,16.0,23.0,199.0,153836.0,0,0,0,947.0,0,227.0,5318.0,3083.0,96516.0,42157.0
-7544.0,0,0,0,0,0,0,0,0,-18994.0,-3163579.0,-830034.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5340431.0,0,0,0,-1868.0,0,0,0,0,0,0
116880.0,0,0,0,0,0,28840.0,953238.0,4230.0,617.0,85486.0,99093.0,507139.0,1.0,42.0,189.0,-56124.0,-3.0,-6105.0,-137133.0,-35089.0,0,705.0,0,1.0,0.0,18.0,4374.0,9665.0,8.0,28.0,176.0,-24180242.0,0,0,0,61151.0,3184.0,0,2709.0,3426.0,0,0
0,0,0,0,0,0,-245435.0,-5381258.0,-878.0,181.0,14615.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274554.0,0,0,0,-20224.0,0,0,-5417.0,203.0,0,0
0,0,0,0,0,0,-9405.0,-210709.0,48.0,-6.0,1399.0,6088.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,31.0,46.0,706.0,0,0,0,0,0,0,0,0,-7359.0,0,0,0,0,940496.0,8131.0
13333.0,0,0,0,0,0,-239499.0,-1583372.0,0,2944.0,22549.0,24547.0,0,0,0,0,2388.0,2.0,521.0,5045.0,2276.0,0,0,0,0,0,0,0,18403.0,382.0,59.0,466.0,30222616.0,0,0,0,8743.0,-28019.0,0,0,0,0,0
32636.0,0,0,0,0,0,-682835.0,-9543711.0,32.0,-140.0,28540.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32794.0,23364.0,1655.0,3430.0,3635596.0,0,0,0,437948.0,382.0,79.0,0,0,20288.0,-1863055.0
30263.0,0,0,0,0,0,722073.0,10170261.0,-709.0,150.0,127570.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18412.0,99.0,173.0,803.0,4191466.0,0,0,0,15447.0,430.0,209.0,0,6051.0,45898.0,38603.0
1105.0,0,0,0,0,0,-305587.0,-1430672.0,0,60.0,3328.0,3640.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7374.0,0,0,0,0,0,0,0,0,0,0
553.0,0,0,0,0,0,3496.0,78511.0,-204.0,-44.0,1709.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,15.0,55.0,14.0,47.0,0,155.0,-40106.0,0,0,0,-2324.0,0,0,0,0,0,0
37580.0,0,0,0,0,0,1061153.0,12349999.0,744.0,426.0,6799.0,11339.0,0,0,0,0,0,0,0,53469.0,0,0,0,0,0,0,0,0,0,0,0,0,95927.0,0,0,0,39692.0,39.0,0,0,0,0,0
2048.0,0,0,0,0,0,-54092.0,-1211913.0,279.0,53.0,6568.0,1436053.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
